time_start,time_end,time_center,duration,stat,dof,reduced_stat,fit_message,successful_fit,A,A_err_low,A_err_high,Epeak,Epeak_err_low,Epeak_err_high,alpha,alpha_err_low,alpha_err_high,beta,beta_err_low,beta_err_high
9.5,10.0,9.75,0.5,178.31840645051273,331,0.5387263034758693,Linear search failed,True,0.2681222076321298,0.005834794125139597,0.005876795609977892,345.3624987047991,16.455025657880356,17.393043339944825,-0.9493349759492631,0.024221912633850096,0.024774666289809955,-8.748330778998891,91.25166922100111,8.548330778998892
10.0,10.5,10.25,0.5,210.27144884247025,331,0.6352611747506655,Converged (|f_n-f_(n-1)| ~= 0),True,0.2940943280734709,0.004636806610405941,0.004674933164855788,297.854842297628,8.498294463298294,8.796545389997334,-0.8322070184299637,0.017890385528983255,0.018193024557692783,-8.294259590125485,91.70574040987452,8.094259590125485
10.5,11.0,10.75,0.5,175.43154629904893,331,0.5300046715983352,Max. number of function evaluations reached,True,0.33637500113305585,0.007747177142608752,0.007804951468598109,255.1762368133977,8.523642254141436,8.809480322528003,-0.6809710614161055,0.026233567284667525,0.026932654723965666,-22.741918605022903,77.2580813949771,22.541918605022904
11.0,11.5,11.25,0.5,175.43154629904893,331,0.5300046715983352,Max. number of function evaluations reached,True,0.33637500113305585,0.007747177142608752,0.007804951468598109,255.1762368133977,8.523642254141436,8.809480322528003,-0.6809710614161055,0.026233567284667525,0.026932654723965666,-22.741918605022903,77.2580813949771,22.541918605022904
11.5,12.0,11.75,0.5,194.68270088737663,331,0.5881652594784792,Converged (|f_n-f_(n-1)| ~= 0),True,0.2894459310090197,0.005096697597613553,0.005119061888545606,234.19600484829562,6.340094138392288,6.508211999645141,-0.7670171635924525,0.01868550729845808,0.01900086740554885,-10.591098901503827,89.40890109849617,10.391098901503828
12.0,12.5,12.25,0.5,164.89213531590494,331,0.4981635508033382,Converged (|f_n-f_(n-1)| ~= 0),True,0.25432346879309203,0.006965218527318878,0.007023256754259077,196.99975468810936,8.312472731025395,8.710390782869894,-0.8433202298807405,0.026081728100541768,0.026821901443687235,-10.830120187186168,89.16987981281383,10.630120187186169
12.5,13.0,12.75,0.5,196.37172236897624,331,0.5932680434108043,Max. number of function evaluations reached,True,0.19699403791824488,0.004490576285144543,0.004517603185579505,196.22937790961367,6.947537272262764,7.203492273357682,-0.8485309275393362,0.021876598020779237,0.022337948671786956,-12.765675049973325,87.23432495002668,12.565675049973326
13.0,13.5,13.25,0.5,147.15859325165033,331,0.4445878950200916,Max. number of function evaluations reached,True,0.14168224558607004,0.005800136430819169,0.005848389167482038,190.66640411773238,11.833137918157519,12.616299830997434,-0.8473275000697331,0.038770972369672196,0.040611927634825906,-10.2409496188519,89.7590503811481,10.0409496188519
13.5,14.0,13.75,0.5,139.1198675531385,331,0.42030171466204985,Linear search failed,True,0.10200226627396011,0.0035559008345725646,0.003581622977866211,181.49697861680306,10.458159604638865,11.105800212725029,-0.9376494665333848,0.031545534856688096,0.032738667969405943,-8.394552576741738,91.60544742325825,8.194552576741739
14.0,14.5,14.25,0.5,102.60769267279233,331,0.30999302922293753,Max. number of function evaluations reached,True,0.0770142619936629,0.005081911215181825,0.005124828625915304,134.10412668330605,13.371578075206074,14.790535028639681,-0.9844253140781056,0.05075848419896767,0.054352029333715635,-18.586218630877767,81.41378136912223,18.386218630877767
14.5,15.0,14.75,0.5,113.12336890287138,331,0.3417624438153214,Converged (|f_n-f_(n-1)| ~= 0),True,0.056557107008122685,0.002896861833599433,0.002916853842633675,154.10704877494936,14.381533644353851,16.061262342898573,-1.0872142329723502,0.0410685610999133,0.04342110601885252,-18.88689612989383,81.11310387010617,18.68689612989383
15.0,15.5,15.25,0.5,104.32302378763694,331,0.31517529845207537,Converged (|f_n-f_(n-1)| ~= 0),True,0.04119876421145056,0.0034345359944406365,0.0034802355004687063,173.082416195184,30.268001087358613,38.33278805725328,-1.1805025422767503,0.0669332098159956,0.07337678335029074,-14.864196414410074,85.13580358558993,14.664196414410075
15.5,16.0,15.75,0.5,112.15024004313238,331,0.338822477471699,Max. number of function evaluations reached,True,0.07813750429373975,0.0038199276090311735,0.0038431466577668744,137.29900195400114,9.431818618206648,10.02842456246313,-0.9077794853164569,0.03922380600357811,0.04127171780643202,-19.599396905738704,80.4006030942613,19.399396905738705
16.0,16.5,16.25,0.5,118.2325975611895,331,0.35719817994317066,Max. number of function evaluations reached,True,0.13402278965161582,0.008175912272975427,0.008251913656605575,119.20578865427359,7.70097068863096,8.032060399831522,-0.6727261907086568,0.047522377793960624,0.050517543220553685,-21.336876365166226,78.66312363483377,21.136876365166227
16.5,17.0,16.75,0.5,112.09521778556694,331,0.338656247086305,Converged (|f_n-f_(n-1)| ~= 0),True,0.0583641491723938,0.0033686781729274917,0.0033832431339572352,126.04142152182845,11.04627200815169,12.051126639498676,-1.0157308690140656,0.043190462126791784,0.04594134376025516,-29.726986494550314,70.27301350544968,29.526986494550314
17.0,17.5,17.25,0.5,171.77132251267295,331,0.518946593693876,Linear search failed,True,0.019344019175912833,0.010353475790285616,0.0005087212486428704,497.07348496645653,461.1937926899625,45.19531978629783,-1.2634483749738514,0.2444548998541276,0.05921137605252791,-4.867688918368323,95.13231108163168,4.667688918368323
17.5,19.0,18.25,1.5,136.54259150265264,331,0.41251538218324063,Linear search failed,True,0.010599941605618515,0.002995589058094542,0.00037776470757024984,499.36830157730384,437.57986407712195,114.3594327895832,-1.4833575033217024,0.11300913420134795,0.07264716464509924,-2.9431326564796265,97.05686734352037,2.7431326564796263
19.0,19.5,19.25,0.5,114.26961902752316,331,0.34522543512846876,Max. number of function evaluations reached,True,0.011621790611068144,0.003661506161266072,0.0037545931616522043,58.26649046871785,25.60437229018617,42.58481673959311,-1.3184535682372935,0.15002400875339306,0.2044717733397794,-6.233584460295283,93.76641553970472,6.033584460295283
19.5,20.0,19.75,0.5,nan,nan,0.3186096576480536,Converged (|f_n-f_(n-1)| ~= 0),False,0.0037060452182344156,0.0008707981524704125,0.0008726815415457338,496.34097687713427,467.9767132445446,inf,-1.8387838699243009,0.06121613007569904,0.19605834464104221,-3.5823548582865996,96.4176451417134,3.3823548582865994
